avg_salary,Rating,Size,Industry,Sector,Revenue,Type of ownership,job_state,hourly,python_yn,R_yn,spark,aws,excel,company_age,job_title_group,job_seniority,sql_yn,tableau_yn
66.5,4.4,1 to 50 employees,Enterprise Software & Network Solutions,Information Technology,Unknown,Company - Private,IN,0,1,0,0,0,0,5.0,other,mid,0,1
179.5,3.6,10000+ employees,Wholesale,Business Services,$10+ billion (USD),Company - Public,IL,0,1,0,0,0,1,93.0,leadership,director,1,0
76.0,2.7,501 to 1000 employees,Research & Development,Business Services,$50 to $100 million (USD),Subsidiary or Business Segment,MO,0,0,0,0,0,1,42.0,data_scientist,mid,0,0
112.0,3.9,501 to 1000 employees,IT Services,Information Technology,$100 to $500 million (USD),Company - Private,VA,0,1,0,1,0,0,10.0,data_scientist,mid,1,0
98.0,3.1,1001 to 5000 employees,Mining,Mining & Metals,$1 to $2 billion (USD),Company - Private,PA,0,1,0,0,0,0,160.0,data_scientist,mid,0,0
128.0,4.0,10000+ employees,Computer Hardware & Software,Information Technology,Unknown,Company - Public,WA,0,0,0,1,1,0,81.0,data_scientist,senior,1,0
150.5,4.3,201 to 500 employees,Enterprise Software & Network Solutions,Information Technology,Unknown,Company - Private,CA,0,1,0,1,1,1,9.0,data_engineer,mid,0,0
87.5,1.9,51 to 200 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),Company - Private,MA,0,0,0,0,1,0,20.0,research_scientist,mid,0,0
110.0,3.3,1001 to 5000 employees,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),Company - Private,VA,0,1,0,0,0,1,3.0,data_scientist,mid,0,0
113.5,4.4,10000+ employees,IT Services,Information Technology,$500 million to $1 billion (USD),Company - Private,CA,0,1,0,0,0,1,25.0,data_scientist,mid,0,0
124.0,3.9,51 to 200 employees,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),Company - Private,CA,0,1,0,0,0,0,4.0,data_scientist,mid,1,0
56.5,4.7,201 to 500 employees,Advertising & Marketing,Business Services,$25 to $50 million (USD),Company - Private,PA,0,0,0,0,0,1,23.0,data_analyst,entry,0,0
